source,mlbam_id,fg_id,player_name,team,adp,overall_rank,format,market_timing_estimate,fantasypros_adp,rotowire_adp,fallback_adp,adp_method,notes
workspace-baseline-2026,687462,,Spencer Horwitz,PIT,351.0,409,10-team dynasty startup snake,Reserve / Late,,,351.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,672761,,Wenceel Perez,DET,353.0,410,10-team dynasty startup snake,Reserve / Late,,,353.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,672515,,Gabriel Moreno,AZ,354.0,411,10-team dynasty startup snake,Reserve / Late,,,354.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,547179,,Michael Lorenzen,COL,355.0,412,10-team dynasty startup snake,Reserve / Late,,,355.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663616,,Trevor Larnach,MIN,356.0,413,10-team dynasty startup snake,Reserve / Late,,,356.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,672356,,Gabriel Arias,CLE,357.0,414,10-team dynasty startup snake,Reserve / Late,,,357.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,650644,,Aaron Civale,ATH,358.0,415,10-team dynasty startup snake,Reserve / Late,,,358.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663647,,Ke’Bryan Hayes,CIN,359.0,416,10-team dynasty startup snake,Reserve / Late,,,359.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,657757,,Gavin Sheets,SD,360.0,417,10-team dynasty startup snake,Reserve / Late,,,360.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,643217,,Andrew Benintendi,CWS,361.0,418,10-team dynasty startup snake,Reserve / Late,,,361.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,686555,,Isaac Collins,KC,362.0,419,10-team dynasty startup snake,Reserve / Late,,,362.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,434378,,Justin Verlander,DET,363.0,420,10-team dynasty startup snake,Reserve / Late,,,363.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,656550,,Grant Holmes,ATL,364.0,421,10-team dynasty startup snake,Reserve / Late,,,364.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,694738,,Landen Roupp,SF,365.0,422,10-team dynasty startup snake,Reserve / Late,,,365.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,691781,,Brady House,WSH,366.0,423,10-team dynasty startup snake,Reserve / Late,,,366.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,700241,,Michael McGreevy,STL,367.0,424,10-team dynasty startup snake,Reserve / Late,,,367.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676609,,Jose Caballero,NYY,368.0,425,10-team dynasty startup snake,Reserve / Late,,,368.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676282,,Joey Cantillo,CLE,369.0,426,10-team dynasty startup snake,Reserve / Late,,,369.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,660821,,Jesus Sanchez,TOR,371.0,427,10-team dynasty startup snake,Reserve / Late,,,371.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,571945,,Miles Mikolas,WSH,372.0,428,10-team dynasty startup snake,Reserve / Late,,,372.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,445276,,Kenley Jansen,DET,373.0,429,10-team dynasty startup snake,Reserve / Late,,,373.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,641793,,Zack Littell,WSH,374.0,430,10-team dynasty startup snake,Reserve / Late,,,374.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,801403,,Chase Dollander,COL,376.0,431,10-team dynasty startup snake,Reserve / Late,,,376.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663623,,Jake Irvin,WSH,378.0,432,10-team dynasty startup snake,Reserve / Late,,,378.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,686527,,Dominic Canzone,SEA,379.0,433,10-team dynasty startup snake,Reserve / Late,,,379.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,650859,,Luis Rengifo,MIL,380.0,434,10-team dynasty startup snake,Reserve / Late,,,380.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,656492,,Foster Griffin,WSH,382.0,435,10-team dynasty startup snake,Reserve / Late,,,382.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,453286,,Max Scherzer,TOR,385.0,436,10-team dynasty startup snake,Reserve / Late,,,385.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676395,,Robert Garcia,TEX,386.0,437,10-team dynasty startup snake,Reserve / Late,,,386.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,681190,,Randy Vasquez,SD,388.0,438,10-team dynasty startup snake,Reserve / Late,,,388.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663978,,Chris Paddack,MIA,389.0,439,10-team dynasty startup snake,Reserve / Late,,,389.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,500779,,Jose Quintana,COL,390.0,440,10-team dynasty startup snake,Reserve / Late,,,390.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,805904,,Zach Cole,HOU,391.0,441,10-team dynasty startup snake,Reserve / Late,,,391.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,677950,,Alek Thomas,AZ,393.0,442,10-team dynasty startup snake,Reserve / Late,,,393.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,571927,,Steven Matz,TB,394.0,443,10-team dynasty startup snake,Reserve / Late,,,394.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676617,,Riley O’Brien,STL,395.0,444,10-team dynasty startup snake,Reserve / Late,,,395.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,641933,,Tyler O’Neill,BAL,397.0,445,10-team dynasty startup snake,Reserve / Late,,,397.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,645302,,Victor Robles,SEA,398.0,446,10-team dynasty startup snake,Reserve / Late,,,398.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,656641,,Jacob Latz,TEX,399.0,447,10-team dynasty startup snake,Reserve / Late,,,399.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669242,,Tommy Edman,LAD,400.0,448,10-team dynasty startup snake,Reserve / Late,,,400.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,670042,,Luke Raley,SEA,402.0,449,10-team dynasty startup snake,Reserve / Late,,,402.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676914,,Davis Schneider,TOR,403.0,450,10-team dynasty startup snake,Reserve / Late,,,403.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,650556,,Bryan Abreu,HOU,404.0,451,10-team dynasty startup snake,Reserve / Late,,,404.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,806960,,Luis Morales,ATH,405.0,452,10-team dynasty startup snake,Reserve / Late,,,405.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663886,,Tyler Stephenson,CIN,406.0,453,10-team dynasty startup snake,Reserve / Late,,,406.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,608566,,German Marquez,SD,407.0,454,10-team dynasty startup snake,Reserve / Late,,,407.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,677958,,Kumar Rocker,TEX,408.0,455,10-team dynasty startup snake,Reserve / Late,,,408.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,664728,,Kyle Isbel,KC,409.0,456,10-team dynasty startup snake,Reserve / Late,,,409.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,693855,,Ian Seymour,TB,410.0,457,10-team dynasty startup snake,Reserve / Late,,,410.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666397,,Edouard Julien,COL,411.0,458,10-team dynasty startup snake,Reserve / Late,,,411.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,622554,,Seranthony Dominguez,CWS,412.0,459,10-team dynasty startup snake,Reserve / Late,,,412.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666624,,Christopher Morel,MIA,413.0,460,10-team dynasty startup snake,Reserve / Late,,,413.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,691799,,Grant Taylor,CWS,414.0,461,10-team dynasty startup snake,Reserve / Late,,,414.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,641743,,Anthony Kay,CWS,416.0,462,10-team dynasty startup snake,Reserve / Late,,,416.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,693821,,Bryce Elder,ATL,418.0,463,10-team dynasty startup snake,Reserve / Late,,,418.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,700337,,Edgar Quero,CWS,419.0,464,10-team dynasty startup snake,Reserve / Late,,,419.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,671655,,George Valera,CLE,420.0,465,10-team dynasty startup snake,Reserve / Late,,,420.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,671289,,Tyler Freeman,COL,421.0,466,10-team dynasty startup snake,Reserve / Late,,,421.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,680767,,Victor Vodnik,COL,422.0,467,10-team dynasty startup snake,Reserve / Late,,,422.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,677952,,Braxton Ashcraft,PIT,423.0,468,10-team dynasty startup snake,Reserve / Late,,,423.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666023,,Freddy Fermin,SD,427.0,469,10-team dynasty startup snake,Reserve / Late,,,427.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,467793,,Carlos Santana,AZ,428.0,470,10-team dynasty startup snake,Reserve / Late,,,428.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,693307,,Dillon Dingler,DET,429.0,471,10-team dynasty startup snake,Reserve / Late,,,429.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663158,,Robert Suarez,ATL,430.0,472,10-team dynasty startup snake,Reserve / Late,,,430.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,673490,,Ha-Seong Kim,ATL,431.0,473,10-team dynasty startup snake,Reserve / Late,,,431.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663372,,Ryan Feltner,COL,432.0,474,10-team dynasty startup snake,Reserve / Late,,,432.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,665966,,Carlos Narvaez,BOS,433.0,475,10-team dynasty startup snake,Reserve / Late,,,433.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,656716,,Zach McKinstry,DET,434.0,476,10-team dynasty startup snake,Reserve / Late,,,434.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,672016,,Denzel Clarke,ATH,435.0,477,10-team dynasty startup snake,Reserve / Late,,,435.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,664770,,Nathan Lukes,TOR,436.0,478,10-team dynasty startup snake,Reserve / Late,,,436.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,694388,,Joey Loperfido,HOU,437.0,479,10-team dynasty startup snake,Reserve / Late,,,437.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,681517,,Kyle Leahy,STL,438.0,480,10-team dynasty startup snake,Reserve / Late,,,438.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,695418,,Brad Lord,WSH,439.0,481,10-team dynasty startup snake,Reserve / Late,,,439.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,672275,,Patrick Bailey,SF,441.0,482,10-team dynasty startup snake,Reserve / Late,,,441.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,681715,,Heriberto Hernandez,MIA,442.0,483,10-team dynasty startup snake,Reserve / Late,,,442.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,813349,,Connelly Early,BOS,443.0,484,10-team dynasty startup snake,Reserve / Late,,,443.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,695600,,Carter Jensen,KC,444.0,485,10-team dynasty startup snake,Reserve / Late,,,444.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,621121,,Lance McCullers Jr.,HOU,445.0,486,10-team dynasty startup snake,Reserve / Late,,,445.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,643376,,Danny Jansen,TEX,446.0,487,10-team dynasty startup snake,Reserve / Late,,,446.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,696285,,Jacob Young,WSH,447.0,488,10-team dynasty startup snake,Reserve / Late,,,447.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,608348,,Carson Kelly,CHC,448.0,489,10-team dynasty startup snake,Reserve / Late,,,448.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666152,,David Hamilton,MIL,449.0,490,10-team dynasty startup snake,Reserve / Late,,,449.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,660688,,Keibert Ruiz,WSH,451.0,491,10-team dynasty startup snake,Reserve / Late,,,451.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682668,,Luisangel Acuna,CWS,452.0,492,10-team dynasty startup snake,Reserve / Late,,,452.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,665052,,Griffin Conine,MIA,453.0,493,10-team dynasty startup snake,Reserve / Late,,,453.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666129,,Braxton Garrett,MIA,454.0,494,10-team dynasty startup snake,Reserve / Late,,,454.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,664076,,Garrett Cleavinger,TB,455.0,495,10-team dynasty startup snake,Reserve / Late,,,455.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669003,,Garrett Mitchell,MIL,456.0,496,10-team dynasty startup snake,Reserve / Late,,,456.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669236,,Jeremiah Jackson,BAL,457.0,497,10-team dynasty startup snake,Reserve / Late,,,457.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,641343,,Jake Bauers,MIL,458.0,498,10-team dynasty startup snake,Reserve / Late,,,458.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,672820,,Lenyn Sosa,CWS,459.0,499,10-team dynasty startup snake,Reserve / Late,,,459.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669221,,Sean Murphy,ATL,460.0,500,10-team dynasty startup snake,Reserve / Late,,,460.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,692216,,CJ Kayfus,CLE,462.0,501,10-team dynasty startup snake,Reserve / Late,,,462.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,690925,,Clayton Beeter,WSH,463.0,502,10-team dynasty startup snake,Reserve / Late,,,463.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,656945,,Tanner Scott,LAD,464.0,503,10-team dynasty startup snake,Reserve / Late,,,464.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,643289,,Mauricio Dubon,ATL,465.0,504,10-team dynasty startup snake,Reserve / Late,,,465.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,592836,,Taijuan Walker,PHI,466.0,505,10-team dynasty startup snake,Reserve / Late,,,466.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,660162,,Yoan Moncada,LAA,467.0,506,10-team dynasty startup snake,Reserve / Late,,,467.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,665019,,Kody Clemens,MIN,468.0,507,10-team dynasty startup snake,Reserve / Late,,,468.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,607200,,Erick Fedde,CWS,469.0,508,10-team dynasty startup snake,Reserve / Late,,,469.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676684,,Will Vest,DET,470.0,509,10-team dynasty startup snake,Reserve / Late,,,470.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,686780,,Pedro Pages,STL,471.0,510,10-team dynasty startup snake,Reserve / Late,,,471.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,641584,,Jake Fraley,TB,474.0,511,10-team dynasty startup snake,Reserve / Late,,,474.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,670955,,Edwin Uceta,TB,475.0,512,10-team dynasty startup snake,Reserve / Late,,,475.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,640451,,Hunter Harvey,CHC,476.0,513,10-team dynasty startup snake,Reserve / Late,,,476.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,688363,,Graham Pauley,MIA,477.0,514,10-team dynasty startup snake,Reserve / Late,,,477.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,693304,,Nick Gonzales,PIT,478.0,515,10-team dynasty startup snake,Reserve / Late,,,478.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666158,,Gavin Lux,TB,479.0,516,10-team dynasty startup snake,Reserve / Late,,,479.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,677942,,Blaze Alexander,BAL,482.0,517,10-team dynasty startup snake,Reserve / Late,,,482.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669093,,Jeremiah Estrada,SD,483.0,518,10-team dynasty startup snake,Reserve / Late,,,483.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,592206,,Nick Castellanos,SD,484.0,519,10-team dynasty startup snake,Reserve / Late,,,484.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,573124,,Taylor Rogers,MIN,485.0,520,10-team dynasty startup snake,Reserve / Late,,,485.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,647336,,Michael Soroka,AZ,486.0,521,10-team dynasty startup snake,Reserve / Late,,,486.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,665152,,Dean Kremer,BAL,487.0,522,10-team dynasty startup snake,Reserve / Late,,,487.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663531,,Logan Allen,CLE,488.0,523,10-team dynasty startup snake,Reserve / Late,,,488.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,681460,,Brooks Baldwin,CWS,489.0,524,10-team dynasty startup snake,Reserve / Late,,,489.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,690986,,Kyle Harrison,MIL,490.0,525,10-team dynasty startup snake,Reserve / Late,,,490.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669134,,Luis Campusano,SD,491.0,526,10-team dynasty startup snake,Reserve / Late,,,491.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,668709,,JJ Bleday,CIN,492.0,527,10-team dynasty startup snake,Reserve / Late,,,492.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,621438,,Tyrone Taylor,NYM,493.0,528,10-team dynasty startup snake,Reserve / Late,,,493.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,605170,,Victor Caratini,MIN,494.0,529,10-team dynasty startup snake,Reserve / Late,,,494.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,681198,,T.J. Rumfield,COL,495.0,530,10-team dynasty startup snake,Reserve / Late,,,495.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666181,,Will Benson,CIN,496.0,531,10-team dynasty startup snake,Reserve / Late,,,496.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,609280,,Miguel Andujar,SD,497.0,532,10-team dynasty startup snake,Reserve / Late,,,497.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676962,,Ben Brown,CHC,498.0,533,10-team dynasty startup snake,Reserve / Late,,,498.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,668885,,Austin Martin,MIN,499.0,534,10-team dynasty startup snake,Reserve / Late,,,499.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,687859,,Troy Johnston,COL,500.0,535,10-team dynasty startup snake,Reserve / Late,,,500.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666808,,Camilo Doval,NYY,501.0,536,10-team dynasty startup snake,Reserve / Late,,,501.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666201,,Alek Manoah,LAA,502.0,537,10-team dynasty startup snake,Reserve / Late,,,502.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,690916,,Richard Fitts,STL,503.0,538,10-team dynasty startup snake,Reserve / Late,,,503.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,608372,,Tomoyuki Sugano,COL,504.0,539,10-team dynasty startup snake,Reserve / Late,,,504.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,621244,,Jose Berrios,TOR,505.0,540,10-team dynasty startup snake,Reserve / Late,,,505.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,670912,,Johan Oviedo,BOS,506.0,541,10-team dynasty startup snake,Reserve / Late,,,506.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
