source,mlbam_id,fg_id,player_name,team,adp,overall_rank,format,notes
FantasyPros overall ADP,702518,702518,Jett Williams,MIL,283.0,284,10-team dynasty startup snake,
FantasyPros overall ADP,682990,682990,Quinn Priester,MIL,284.0,285,10-team dynasty startup snake,
FantasyPros overall ADP,703197,703197,Michael Arroyo,SEA,285.0,286,10-team dynasty startup snake,
FantasyPros overall ADP,650490,650490,Yandy Diaz,TB,286.0,287,10-team dynasty startup snake,
FantasyPros overall ADP,687273,687273,Quinn Mathews,STL,287.0,288,10-team dynasty startup snake,
FantasyPros overall ADP,641927,641927,Bailey Ober,MIN,288.0,289,10-team dynasty startup snake,
FantasyPros overall ADP,694384,694384,Nolan Schanuel,LAA,289.0,290,10-team dynasty startup snake,
FantasyPros overall ADP,702284,702284,Cole Young,SEA,290.0,291,10-team dynasty startup snake,
FantasyPros overall ADP,668804,668804,Bryan Reynolds,PIT,291.0,292,10-team dynasty startup snake,
FantasyPros overall ADP,664761,664761,Alec Bohm,PHI,292.0,293,10-team dynasty startup snake,
FantasyPros overall ADP,656605,656605,Mitch Keller,PIT,293.0,294,10-team dynasty startup snake,
FantasyPros overall ADP,702281,702281,Robby Snelling,MIA,294.0,295,10-team dynasty startup snake,
FantasyPros overall ADP,,,Edward Florentino,PIT,295.0,296,10-team dynasty startup snake,
FantasyPros overall ADP,691373,691373,Jhostynxon Garcia,PIT,296.0,297,10-team dynasty startup snake,
FantasyPros overall ADP,695076,695076,Rhett Lowder,CIN,298.0,298,10-team dynasty startup snake,
FantasyPros overall ADP,,,Hayden Birdsong,SF,299.0,299,10-team dynasty startup snake,
FantasyPros overall ADP,669224,669224,Austin Wells,NYY,300.0,300,10-team dynasty startup snake,
