source,mlbam_id,fg_id,player_name,team,dynasty_rank,dynasty_tier,position_group,source_rank,fallback_rank,rank_method,notes
workspace-baseline-2026,670764,,Taylor Walls,TB,600,Tier 6,SS,,466,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663698,,Joey Bart,PIT,601,Tier 6,C,,467,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663372,,Ryan Feltner,COL,602,Tier 6,SP,,468,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,434378,,Justin Verlander,DET,603,Tier 6,SP,,469,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,605170,,Victor Caratini,MIN,604,Tier 6,C,,470,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,695336,,Thomas Saggese,STL,605,Tier 6,SS,,471,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,622761,,Jorge Mateo,ATL,606,Tier 6,SS,,472,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,666129,,Braxton Garrett,MIA,607,Tier 6,SP,,473,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,641743,,Anthony Kay,CWS,608,Tier 6,SP,,474,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,453286,,Max Scherzer,TOR,609,Tier 6,SP,,475,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,677649,,Ezequiel Duran,TEX,610,Tier 6,SS,,476,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,681517,,Kyle Leahy,STL,611,Tier 6,SP,,477,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,695418,,Brad Lord,WSH,612,Tier 6,SP,,478,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,500779,,Jose Quintana,COL,613,Tier 6,SP,,480,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,672724,,Oswald Peraza,LAA,614,Tier 6,SS,,481,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,621438,,Tyrone Taylor,NYM,615,Tier 6,OF,,482,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663853,,Romy Gonzalez,BOS,616,Tier 6,2B,,483,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,686681,,Michael Massey,KC,617,Tier 6,2B,,484,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,609280,,Miguel Andujar,SD,618,Tier 6,3B,,485,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,664076,,Garrett Cleavinger,TB,619,Tier 6,SP,,486,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663968,,Jake Mangum,PIT,620,Tier 6,OF,,487,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,676356,,Jonny DeLuca,TB,621,Tier 6,OF,,488,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,690925,,Clayton Beeter,WSH,622,Tier 6,RP,,489,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,670955,,Edwin Uceta,TB,623,Tier 6,RP,,492,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,669326,,Bryce Teodosio,LAA,624,Tier 6,OF,,493,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,665804,,Miguel Amaya,CHC,625,Tier 6,C,,496,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,656945,,Tanner Scott,LAD,626,Tier 6,SP,,497,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,592206,,Nick Castellanos,SD,627,Tier 6,OF,,498,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,543309,,Kyle Higashioka,TEX,628,Tier 6,C,,500,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,595879,,Javier Baez,DET,629,Tier 6,SS,,501,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,680779,,Henry Davis,PIT,630,Tier 6,C,,503,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,690022,,Ryan Ritter,COL,631,Tier 6,SS,,504,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,680700,,Richie Palacios,TB,632,Tier 6,OF,,505,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,640451,,Hunter Harvey,CHC,633,Tier 6,SP,,506,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,621121,,Lance McCullers Jr.,HOU,634,Tier 6,SP,,508,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,665953,,Andres Chaparro,WSH,635,Tier 6,1B,,512,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,647336,,Michael Soroka,AZ,636,Tier 6,SP,,513,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,682177,,Daniel Schneemann,CLE,637,Tier 6,SS,,517,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,807799,,Masataka Yoshida,BOS,638,Tier 6,OF,,518,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,691720,,Kyle Karros,COL,639,Tier 6,3B,,519,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,666374,,Matt Brash,SEA,640,Tier 6,SP,,520,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,677592,,Everson Pereira,CWS,641,Tier 6,OF,,521,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,689414,,Liam Hicks,MIA,642,Tier 6,C,,522,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,664059,,Sam Haggerty,TEX,643,Tier 6,2B,,523,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,681911,,Alex Vesia,LAD,644,Tier 6,SP,,524,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,657136,,Connor Wong,BOS,645,Tier 6,C,,525,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663743,,Nick Fortes,TB,646,Tier 6,C,,528,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,678606,,Jose A. Ferrer,SEA,647,Tier 6,SP,,529,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,682641,,Luis Matos,SF,648,Tier 6,OF,,530,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663624,,Ryan Mountcastle,BAL,649,Tier 6,1B,,531,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663531,,Logan Allen,CLE,650,Tier 6,SP,,532,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,592836,,Taijuan Walker,PHI,651,Tier 6,SP,,536,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,686475,,Tyler Tolbert,KC,652,Tier 6,SS,,537,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,665152,,Dean Kremer,BAL,653,Tier 6,SP,,538,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,607200,,Erick Fedde,CWS,654,Tier 6,SP,,539,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,666201,,Alek Manoah,TOR,655,Tier 6,SP,,540,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,690916,,Richard Fitts,BOS,656,Tier 6,SP,,541,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,676477,,Garrett Whitlock,BOS,657,Tier 6,SP,,542,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,670912,,Johan Oviedo,BOS,658,Tier 6,SP,,543,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,516782,,Starling Marte,KC,659,Tier 6,OF,,544,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,690928,,Hunter Dobbins,BOS,660,Tier 6,SP,,545,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,669477,,Casey Schmitt,SF,661,Tier 6,2B,,546,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,650968,,Yohel Pozo,STL,662,Tier 6,C,,548,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,677588,,Jose Tena,WSH,663,Tier 6,2B,,550,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663837,,Matt Vierling,DET,664,Tier 6,OF,,551,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,686993,,Justin Sterner,ATH,665,Tier 6,SP,,552,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,669387,,Carmen Mlodzinski,PIT,666,Tier 6,SP,,553,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,672761,,Wenceel Perez,DET,667,Tier 6,OF,,555,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,669743,,Alex Call,LAD,668,Tier 6,OF,,556,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,668941,,JoJo Romero,STL,669,Tier 6,SP,,557,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,656464,,Kevin Ginkel,AZ,670,Tier 6,SP,,558,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,642100,,Gabe Speier,SEA,671,Tier 6,SP,,559,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,642086,,Dominic Smith,ATL,672,Tier 6,1B,,560,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,620443,,Luis Torrens,NYM,673,Tier 6,C,,561,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,686973,,Louis Varland,TOR,674,Tier 6,SP,,562,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,621237,,Jose Alvarado,PHI,675,Tier 6,SP,,563,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,596133,,Luke Weaver,NYM,676,Tier 6,SP,,564,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,680802,,Ryan Weiss,HOU,677,Tier 6,SP,,565,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,681892,,Kody Funderburk,MIN,678,Tier 6,SP,,566,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,670970,,Adrian Morejon,SD,679,Tier 6,SP,,567,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,602104,,Ramon Urias,STL,680,Tier 6,2B,,568,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,502671,,Paul Goldschmidt,NYY,681,Tier 6,1B,,570,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,656288,,Griffin Canning,SD,682,Tier 6,SP,,571,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,573124,,Taylor Rogers,MIN,683,Tier 6,RP,,572,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,672284,,Jarred Kelenic,ATL,684,Tier 6,OF,,573,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,624424,,Michael Conforto,CHC,685,Tier 6,OF,,575,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663687,,Hogan Harris,ATH,686,Tier 6,SP,,576,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,669372,,J.T. Ginn,ATH,687,Tier 6,SP,,577,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,681546,,James Outman,MIN,688,Tier 6,OF,,578,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,694374,,Tim Tawa,AZ,689,Tier 6,2B,,579,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,680728,,Adrian Del Castillo,AZ,690,Tier 6,C,,580,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,810938,,Ben Williamson,TB,691,Tier 6,3B,,581,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,592122,,Tyler Austin,CHC,692,Tier 6,1B,,582,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,687231,,Darell Hernaiz,ATH,693,Tier 6,SS,,583,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,691594,,Javier Sanoja,MIA,694,Tier 6,SS,,584,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,667472,,Dane Myers,CIN,695,Tier 6,OF,,585,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,669062,,Erik Miller,SF,696,Tier 6,SP,,586,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,681807,,David Fry,CLE,697,Tier 6,1B,,587,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,680686,,Josiah Gray,WSH,698,Tier 6,SP,,588,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,668670,,Jake Rogers,DET,699,Tier 6,C,,589,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,682227,,Brandon Williamson,CIN,700,Tier 6,SP,,590,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663993,,Nathaniel Lowe,CIN,701,Tier 6,1B,,591,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,660844,,Leo Rivas,SEA,702,Tier 6,SS,,593,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,623454,,Drew Anderson,DET,703,Tier 6,SP,,594,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,676369,,Nelson Velazquez,PIT,704,Tier 6,OF,,595,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,694673,,Abimelec Ortiz,TEX,705,Tier 6,1B,,596,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,669371,,Cole Henry,WSH,706,Tier 6,SP,,597,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,701305,,Zach Dezenzo,HOU,707,Tier 6,1B,,598,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,676710,,Kutter Crawford,BOS,708,Tier 6,SP,,599,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,669276,,Dylan Lee,ATL,709,Tier 6,SP,,600,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,673929,,Jordan Leasure,CWS,710,Tier 6,SP,,601,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,682657,,Angel Martinez,CLE,711,Tier 6,2B,,602,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,668674,,Lucas Erceg,KC,712,Tier 6,SP,,603,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,686563,,Jonathan Cannon,CWS,713,Tier 6,SP,,604,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,823550,,Sung-Mun Song,SD,714,Tier 6,3B,,605,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,621111,,Walker Buehler,SD,715,Tier 6,SP,,606,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663330,,Jahmai Jones,DET,716,Tier 6,OF,,607,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,666185,,Dylan Carlson,CHC,717,Tier 6,OF,,608,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,669330,,Tyler Wells,BAL,718,Tier 6,SP,,610,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,624641,,Edmundo Sosa,PHI,719,Tier 6,SS,,611,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,690829,,Ben Joyce,LAA,720,Tier 6,SP,,612,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,683227,,Cody Freeman,TEX,721,Tier 6,2B,,613,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,596142,,Gary Sanchez,MIL,722,Tier 6,C,,614,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,455119,,Chris Martin,TEX,723,Tier 6,SP,,615,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,688760,,Blaine Crim,TEX,724,Tier 6,1B,,616,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,608372,,Tomoyuki Sugano,COL,725,Tier 6,SP,,617,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,676439,,Hunter Feduccia,TB,726,Tier 6,C,,619,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,682988,,Tyler Locklear,SEA,727,Tier 6,1B,,622,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,687093,,Vaughn Grissom,BOS,728,Tier 6,2B,,623,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,624431,,Jose Trevino,CIN,729,Tier 6,C,,624,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,676534,,Calvin Faucher,MIA,730,Tier 6,SP,,625,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,641778,,Eric Lauer,TOR,731,Tier 6,SP,,626,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,679845,,Nick Loftin,KC,732,Tier 6,OF,,627,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,665561,,Rafael Marchan,PHI,733,Tier 6,C,,628,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,457705,,Andrew McCutchen,TEX,734,Tier 6,RF,,629,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,518585,,Fernando Cruz,NYY,735,Tier 6,SP,,630,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,641329,,Bryan Baker,TB,736,Tier 6,SP,,631,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,674003,,Cody Bradford,TEX,737,Tier 6,SP,,633,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663947,,Tyler Holton,DET,738,Tier 6,SP,,636,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663776,,Patrick Sandoval,BOS,739,Tier 6,SP,,637,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,676879,,Aaron Ashby,MIL,740,Tier 6,SP,,638,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,656529,,Sam Hentges,SF,741,Tier 6,SP,,639,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,805249,,Otto Kemp,PHI,742,Tier 6,3B,,640,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,686452,,Drew Millas,WSH,743,Tier 6,C,,641,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,676572,,Eric Wagaman,MIN,744,Tier 6,3B,,642,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,690987,,Robert Hassell III,WSH,745,Tier 6,OF,,643,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,643410,,Mark Leiter Jr.,ATH,746,Tier 6,SP,,645,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,677053,,Andrew Nardi,MIA,747,Tier 6,SP,,646,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,660825,,Eduard Bazardo,SEA,748,Tier 6,SP,,647,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,676664,,JP Sears,SD,749,Tier 6,SP,,648,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663604,,Brandon Lockridge,MIL,750,Tier 6,OF,,649,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,621345,,A.J. Minter,NYM,751,Tier 6,SP,,651,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,489446,,Kirby Yates,LAD,752,Tier 6,RP,,652,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,688107,,Robert Gasser,MIL,753,Tier 6,SP,,653,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,672456,,Keider Montero,DET,754,Tier 6,SP,,654,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663485,,Cole Sands,MIN,755,Tier 6,SP,,655,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,657649,,Jared Koenig,MIL,756,Tier 6,SP,,656,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,669208,,Ryan Bliss,SEA,757,Tier 6,2B,,657,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,689147,,Orion Kerkering,PHI,758,Tier 6,SP,,658,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,687830,,Sawyer Gipson-Long,DET,759,Tier 6,SP,,659,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,702176,,Alan Roden,TOR,760,Tier 6,OF,,660,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,677870,,Leo Jimenez,TOR,761,Tier 6,SS,,661,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,669211,,Keegan Akin,BAL,762,Tier 6,SP,,662,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,691182,,Adael Amador,COL,763,Tier 6,2B,,663,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,701675,,Nathan Church,STL,764,Tier 6,OF,,664,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,642201,,Eli White,ATL,765,Tier 6,OF,,665,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663568,,Stephen Kolek,SD,766,Tier 6,SP,,666,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,687515,,Colby Thomas,ATH,767,Tier 6,OF,,667,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,663368,,Blake Perkins,MIL,768,Tier 6,OF,,668,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,686894,,Joey Wiemer,WSH,769,Tier 6,OF,,669,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
workspace-baseline-2026,665660,,Elvis Alvarado,ATH,770,Tier 6,SP,,670,baseline-fallback,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
