pick_number,round,pick_in_round,team,player_name,player_type,position_bucket,eligible_positions,roster_bucket,current_level,dynasty_rank,adp,injury_status,transaction_status,rationale
108,11,8,Shane,Michael Harris II,hitter,OF,OF,MLB,MLB,112,102.5,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Michael Harris II fit as a of contributor; dynasty rank 112; market ADP 102.5; roster construction needed this position fit; team OBP build needed reinforcement."
109,11,9,Greg,Adolis Garcia,hitter,OF,OF,MLB,MLB,366,101.0,,,Greg prioritized present-year reliability and secure MLB roles; Adolis Garcia fit as a of contributor; dynasty rank 366; market ADP 101.0; roster construction needed this position fit.
110,11,10,Josh V,Andrew Painter,pitcher,SP,SP/P/PITCHER,Minors,MLB,221,122.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Andrew Painter fit as a sp contributor; dynasty rank 221; market ADP 122.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
111,12,1,Josh V,Aidan Miller,hitter,SS,SS/INFIELDER,Minors,AAA,146,127.5,,Assigned,Josh V prioritized long-term ceiling and upside over market conservatism; Aidan Miller fit as a ss contributor; dynasty rank 146; market ADP 127.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
112,12,2,Greg,Michael Busch,hitter,1B,1B,MLB,MLB,80,101.0,,,Greg prioritized present-year reliability and secure MLB roles; Michael Busch fit as a 1b contributor; dynasty rank 80; market ADP 101.0; roster construction needed this position fit; team OBP build needed reinforcement.
113,12,3,Shane,Ceddanne Rafaela,hitter,2B,2B/OF,MLB,MLB,128,110.5,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Ceddanne Rafaela fit as a 2b contributor; dynasty rank 128; market ADP 110.5; roster construction needed this position fit; team OBP build needed reinforcement."
114,12,4,Josh M,Tyler Soderstrom,hitter,1B,1B/OF,MLB,MLB,73,116.0,,,Josh M prioritized portfolio balance and optional roster construction; Tyler Soderstrom fit as a 1b contributor; dynasty rank 73; market ADP 116.0; roster construction needed this position fit; team OBP build needed reinforcement.
115,12,5,Paul,Byron Buxton,hitter,OF,OF,MLB,MLB,92,115.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Byron Buxton fit as a of contributor; dynasty rank 92; market ADP 115.0; roster construction needed this position fit."
116,12,6,Michael,J.J. Wetherholt,hitter,SS,SS/INFIELDER,Minors,MLB,486,259.0,,Number Change,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; J.J. Wetherholt fit as a ss contributor; dynasty rank 486; market ADP 259.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
117,12,7,Matt,Adley Rutschman,hitter,C,C,MLB,MLB,174,117.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Adley Rutschman fit as a c contributor; dynasty rank 174; market ADP 117.0; roster construction needed this position fit."
118,12,8,Wendell,Framber Valdez,pitcher,SP,SP,MLB,MLB,104,101.5,,Signed as Free Agent,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Framber Valdez fit as a sp contributor; dynasty rank 104; market ADP 101.5."
119,12,9,Rob,MacKenzie Gore,pitcher,SP,SP,MLB,MLB,124,95.0,,Trade,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; MacKenzie Gore fit as a sp contributor; dynasty rank 124; market ADP 95.0."
120,12,10,Chris,Will Smith,hitter,C,C,MLB,MLB,116,124.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Will Smith fit as a c contributor; dynasty rank 116; market ADP 124.0; roster construction needed this position fit; team OBP build needed reinforcement."
121,13,1,Chris,Matt Shaw,hitter,3B,3B,MLB,MLB,117,111.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Matt Shaw fit as a 3b contributor; dynasty rank 117; market ADP 111.0; roster construction needed this position fit; team OBP build needed reinforcement."
122,13,2,Rob,Jesus Luzardo,pitcher,SP,SP,MLB,MLB,95,117.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Jesus Luzardo fit as a sp contributor; dynasty rank 95; market ADP 117.0."
123,13,3,Wendell,Marcell Ozuna,hitter,OF,DH/OF,MLB,MLB,378,116.0,,Signed as Free Agent,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Marcell Ozuna fit as a of contributor; dynasty rank 378; market ADP 116.0; roster construction needed this position fit."
124,13,4,Matt,David Bednar,pitcher,RP,RP,MLB,MLB,201,128.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; David Bednar fit as a late-inning reliever; dynasty rank 201; market ADP 128.0."
125,13,5,Michael,Carson Benge,hitter,OF,OF/OUTFIELDER,Minors,MLB,147,141.5,,Number Change,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Carson Benge fit as a of contributor; dynasty rank 147; market ADP 141.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
126,13,6,Paul,Drake Baldwin,hitter,C,C,MLB,MLB,97,134.5,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Drake Baldwin fit as a c contributor; dynasty rank 97; market ADP 134.5; roster construction needed this position fit; team OBP build needed reinforcement."
127,13,7,Josh M,Steven Kwan,hitter,OF,OF,MLB,MLB,167,129.0,,,Josh M prioritized portfolio balance and optional roster construction; Steven Kwan fit as a of contributor; dynasty rank 167; market ADP 129.0; roster construction needed this position fit; team OBP build needed reinforcement.
128,13,8,Shane,Michael King,pitcher,SP,SP,MLB,MLB,118,105.5,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Michael King fit as a sp contributor; dynasty rank 118; market ADP 105.5."
129,13,9,Greg,Zack Wheeler,pitcher,SP,SP,MLB,,119,119.0,,,Greg prioritized present-year reliability and secure MLB roles; Zack Wheeler fit as a sp contributor; dynasty rank 119; market ADP 119.0.
130,13,10,Josh V,Zyhir Hope,hitter,CF,CF/OUTFIELDER,Minors,AA,220,137.5,,,Josh V prioritized long-term ceiling and upside over market conservatism; Zyhir Hope fit as a cf contributor; dynasty rank 220; market ADP 137.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
131,14,1,Josh V,Lazaro Montes,hitter,OF,OF/OUTFIELDER,Minors,AA,225,138.5,,,Josh V prioritized long-term ceiling and upside over market conservatism; Lazaro Montes fit as a of contributor; dynasty rank 225; market ADP 138.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
132,14,2,Greg,Jacob deGrom,pitcher,SP,SP,MLB,MLB,81,134.0,,,Greg prioritized present-year reliability and secure MLB roles; Jacob deGrom fit as a sp contributor; dynasty rank 81; market ADP 134.0.
133,14,3,Shane,Chandler Simpson,hitter,OF,OF,MLB,MLB,202,129.5,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Chandler Simpson fit as a speed-impact bat; dynasty rank 202; market ADP 129.5; roster construction needed this position fit; team OBP build needed reinforcement."
134,14,4,Josh M,Munetaka Murakami,hitter,3B,3B,MLB,MLB,259,118.0,,,Josh M prioritized portfolio balance and optional roster construction; Munetaka Murakami fit as a 3b contributor; dynasty rank 259; market ADP 118.0; roster construction needed this position fit; position scarcity play at 3B pushed the pick up; team OBP build needed reinforcement.
135,14,5,Paul,Hunter Greene,pitcher,SP,SP,MLB,MLB,40,47.5,60-day IL,Status Change,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Hunter Greene fit as a sp contributor; dynasty rank 40; market ADP 47.5."
136,14,6,Michael,Braden Montgomery,hitter,OF,OF/OUTFIELDER,Minors,AA,247,147.5,,Assigned,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Braden Montgomery fit as a of contributor; dynasty rank 247; market ADP 147.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
137,14,7,Matt,Pablo López,pitcher,RP,P/PITCHER,MLB,MLB,125,90.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Pablo López fit as a late-inning reliever; dynasty rank 125; market ADP 90.0."
138,14,8,Wendell,Hunter Goodman,hitter,C,C,MLB,MLB,108,135.5,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Hunter Goodman fit as a c contributor; dynasty rank 108; market ADP 135.5; roster construction needed this position fit."
139,14,9,Rob,Willy Adames,hitter,SS,SS,MLB,MLB,113,137.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Willy Adames fit as a ss contributor; dynasty rank 113; market ADP 137.0; roster construction needed this position fit."
140,14,10,Chris,Emmet Sheehan,pitcher,SP,SP,MLB,MLB,129,119.5,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Emmet Sheehan fit as a sp contributor; dynasty rank 129; market ADP 119.5."
141,15,1,Chris,Dylan Cease,pitcher,SP,SP,MLB,MLB,86,127.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Dylan Cease fit as a sp contributor; dynasty rank 86; market ADP 127.0."
142,15,2,Rob,Willson Contreras,hitter,1B,1B,MLB,MLB,215,136.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Willson Contreras fit as a 1b contributor; dynasty rank 215; market ADP 136.0; roster construction needed this position fit; team OBP build needed reinforcement."
143,15,3,Wendell,Trent Grisham,hitter,OF,OF,MLB,MLB,313,131.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Trent Grisham fit as a of contributor; dynasty rank 313; market ADP 131.0; roster construction needed this position fit."
144,15,4,Matt,Wilyer Abreu,hitter,OF,OF,MLB,MLB,190,127.5,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Wilyer Abreu fit as a of contributor; dynasty rank 190; market ADP 127.5; roster construction needed this position fit."
145,15,5,Michael,Carter Jensen,hitter,C,C/CATCHER,Minors,MLB,242,440.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Carter Jensen fit as a c contributor; dynasty rank 242; market ADP 440.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
146,15,6,Paul,Nico Hoerner,hitter,SS,2B/SS,MLB,MLB,141,159.5,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Nico Hoerner fit as a speed-impact bat; dynasty rank 141; market ADP 159.5; roster construction needed this position fit; position scarcity play at SS pushed the pick up; team OBP build needed reinforcement."
147,15,7,Josh M,Marcelo Mayer,hitter,SS,3B/2B/SS/INFIELDER,MLB,MLB,203,120.0,,,Josh M prioritized portfolio balance and optional roster construction; Marcelo Mayer fit as a ss contributor; dynasty rank 203; market ADP 120.0; roster construction needed this position fit; position scarcity play at 3B pushed the pick up; team OBP build needed reinforcement.
148,15,8,Shane,Alec Burleson,hitter,1B,1B/OF,MLB,MLB,246,139.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Alec Burleson fit as a 1b contributor; dynasty rank 246; market ADP 139.0; roster construction needed this position fit; team OBP build needed reinforcement."
149,15,9,Greg,Chris Sale,pitcher,SP,SP,MLB,MLB,84,144.0,,,Greg prioritized present-year reliability and secure MLB roles; Chris Sale fit as a sp contributor; dynasty rank 84; market ADP 144.0.
150,15,10,Josh V,Eli Willits,hitter,SS,SS/INFIELDER,Minors,Single-A,217,246.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Eli Willits fit as a ss contributor; dynasty rank 217; market ADP 246.0; as a minor-league stash; the depth of the prospect fit the manager's deep-minors appetite.
151,16,1,Josh V,Ethan Holliday,hitter,SS,SS/INFIELDER,Minors,Single-A,204,234.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Ethan Holliday fit as a ss contributor; dynasty rank 204; market ADP 234.0; as a minor-league stash; the depth of the prospect fit the manager's deep-minors appetite.
152,16,2,Greg,Jose Altuve,hitter,2B,2B/OF,MLB,MLB,136,159.0,,,Greg prioritized present-year reliability and secure MLB roles; Jose Altuve fit as a 2b contributor; dynasty rank 136; market ADP 159.0; roster construction needed this position fit; team OBP build needed reinforcement.
153,16,3,Shane,Shane McClanahan,pitcher,SP,SP,MLB,MLB,250,114.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Shane McClanahan fit as a sp contributor; dynasty rank 250; market ADP 114.0."
154,16,4,Josh M,Shota Imanaga,pitcher,SP,SP,MLB,MLB,175,137.0,,,Josh M prioritized portfolio balance and optional roster construction; Shota Imanaga fit as a sp contributor; dynasty rank 175; market ADP 137.0.
155,16,5,Paul,Isaac Paredes,hitter,3B,3B,MLB,MLB,111,149.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Isaac Paredes fit as a 3b contributor; dynasty rank 111; market ADP 149.0; roster construction needed this position fit; team OBP build needed reinforcement."
156,16,6,Michael,Jonah Tong,pitcher,SP,SP/P/PITCHER,Minors,AAA,223,176.0,,Optioned,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Jonah Tong fit as a sp contributor; dynasty rank 223; market ADP 176.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
157,16,7,Matt,Noelvi Marte,hitter,3B,3B/OF,MLB,MLB,172,151.5,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Noelvi Marte fit as a 3b contributor; dynasty rank 172; market ADP 151.5; roster construction needed this position fit; position scarcity play at 3B pushed the pick up."
158,16,8,Wendell,Tyler Glasnow,pitcher,SP,SP,MLB,MLB,98,139.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Tyler Glasnow fit as a sp contributor; dynasty rank 98; market ADP 139.0."
159,16,9,Rob,Luke Keaschall,hitter,2B,2B,MLB,MLB,115,155.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Luke Keaschall fit as a speed-impact bat; dynasty rank 115; market ADP 155.0; roster construction needed this position fit; team OBP build needed reinforcement."
160,16,10,Chris,Kristian Campbell,hitter,2B,2B/OF/INFIELDER,MLB,AAA,186,115.0,,Optioned,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Kristian Campbell fit as a 2b contributor; dynasty rank 186; market ADP 115.0; roster construction needed this position fit; team OBP build needed reinforcement."
161,17,1,Chris,Kyle Bradish,pitcher,SP,SP,MLB,MLB,120,143.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Kyle Bradish fit as a sp contributor; dynasty rank 120; market ADP 143.0."
162,17,2,Rob,Spencer Torkelson,hitter,1B,1B,MLB,MLB,123,141.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Spencer Torkelson fit as a 1b contributor; dynasty rank 123; market ADP 141.0; roster construction needed this position fit; team OBP build needed reinforcement."
163,17,3,Wendell,Aroldis Chapman,pitcher,RP,RP,MLB,MLB,272,160.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Aroldis Chapman fit as a late-inning reliever; dynasty rank 272; market ADP 160.0; team save totals needed attention."
164,17,4,Matt,Salvador Perez,hitter,C,C/1B,MLB,MLB,303,146.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Salvador Perez fit as a c contributor; dynasty rank 303; market ADP 146.0; roster construction needed this position fit; position scarcity play at C pushed the pick up."
165,17,5,Michael,Thomas White,pitcher,SP,SP/P/PITCHER,Minors,AAA,159,185.0,,Assigned,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Thomas White fit as a sp contributor; dynasty rank 159; market ADP 185.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
166,17,6,Paul,Christian Yelich,hitter,OF,DH/OF,MLB,MLB,114,166.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Christian Yelich fit as a of contributor; dynasty rank 114; market ADP 166.0; roster construction needed this position fit; team OBP build needed reinforcement."
167,17,7,Josh M,Kris Bubic,pitcher,SP,SP,MLB,MLB,170,147.0,,,Josh M prioritized portfolio balance and optional roster construction; Kris Bubic fit as a sp contributor; dynasty rank 170; market ADP 147.0.
168,17,8,Shane,Matt McLain,hitter,2B,2B,MLB,MLB,237,161.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Matt McLain fit as a 2b contributor; dynasty rank 237; market ADP 161.0; roster construction needed this position fit; team OBP build needed reinforcement."
169,17,9,Greg,Christian Walker,hitter,1B,1B,MLB,MLB,330,154.0,,,Greg prioritized present-year reliability and secure MLB roles; Christian Walker fit as a 1b contributor; dynasty rank 330; market ADP 154.0; roster construction needed this position fit; team OBP build needed reinforcement.
170,17,10,Josh V,Carson Williams,hitter,SS,SS/INFIELDER,Minors,MLB,317,186.0,,Recalled,Josh V prioritized long-term ceiling and upside over market conservatism; Carson Williams fit as a ss contributor; dynasty rank 317; market ADP 186.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
171,18,1,Josh V,Jakob Marsee,hitter,OF,OF,MLB,MLB,192,153.5,,,Josh V prioritized long-term ceiling and upside over market conservatism; Jakob Marsee fit as a speed-impact bat; dynasty rank 192; market ADP 153.5; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement; speed scarcity pushed the pick up.
172,18,2,Greg,TJ Friedl,hitter,OF,OF,MLB,MLB,374,148.0,,,Greg prioritized present-year reliability and secure MLB roles; TJ Friedl fit as a of contributor; dynasty rank 374; market ADP 148.0; roster construction needed this position fit; team OBP build needed reinforcement.
173,18,3,Shane,Brenton Doyle,hitter,OF,OF,MLB,MLB,218,141.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Brenton Doyle fit as a of contributor; dynasty rank 218; market ADP 141.0; roster construction needed this position fit; team OBP build needed reinforcement."
174,18,4,Josh M,Ivan Herrera,hitter,C,DH/C,MLB,MLB,151,174.0,,,Josh M prioritized portfolio balance and optional roster construction; Ivan Herrera fit as a c contributor; dynasty rank 151; market ADP 174.0; roster construction needed this position fit; position scarcity play at C pushed the pick up; team OBP build needed reinforcement.
175,18,5,Paul,Nick Lodolo,pitcher,SP,SP,MLB,,130,155.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Nick Lodolo fit as a sp contributor; dynasty rank 130; market ADP 155.0."
176,18,6,Michael,Dylan Crews,hitter,OF,OF/RF/OUTFIELDER,MLB,AAA,179,124.0,,Optioned,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Dylan Crews fit as a of contributor; dynasty rank 179; market ADP 124.0; MLB-slot pressure required immediate production; roster construction needed this position fit; speed scarcity pushed the pick up."
177,18,7,Matt,Bryce Miller,pitcher,SP,SP,MLB,,168,145.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Bryce Miller fit as a sp contributor; dynasty rank 168; market ADP 145.0."
178,18,8,Wendell,Nolan Gorman,hitter,2B,2B/3B,MLB,MLB,483,162.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Nolan Gorman fit as a 2b contributor; dynasty rank 483; market ADP 162.0; roster construction needed this position fit."
179,18,9,Rob,Coby Mayo,hitter,3B,1B/3B,MLB,MLB,235,149.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Coby Mayo fit as a 3b contributor; dynasty rank 235; market ADP 149.0; roster construction needed this position fit; team OBP build needed reinforcement."
180,18,10,Chris,Cam Smith,hitter,OF,OF,MLB,MLB,195,136.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Cam Smith fit as a of contributor; dynasty rank 195; market ADP 136.0; roster construction needed this position fit; team OBP build needed reinforcement."
181,19,1,Chris,Gavin Williams,pitcher,SP,SP,MLB,MLB,148,160.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Gavin Williams fit as a sp contributor; dynasty rank 148; market ADP 160.0."
182,19,2,Rob,Cade Horton,pitcher,SP,SP,MLB,MLB,196,158.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Cade Horton fit as a sp contributor; dynasty rank 196; market ADP 158.0."
183,19,3,Wendell,Carlos Rodon,pitcher,SP,SP,MLB,,173,169.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Carlos Rodon fit as a sp contributor; dynasty rank 173; market ADP 169.0."
184,19,4,Matt,Luis Robert Jr.,hitter,OF,OF,MLB,MLB,154,165.5,,Trade,"Matt prioritized weekly usability, flexibility, and role-driven edges; Luis Robert Jr. fit as a speed-impact bat; dynasty rank 154; market ADP 165.5; roster construction needed this position fit."
185,19,5,Michael,Shea Langeliers,hitter,C,C,MLB,MLB,91,163.5,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Shea Langeliers fit as a c contributor; dynasty rank 91; market ADP 163.5; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
186,19,6,Paul,Jake Burger,hitter,1B,1B,MLB,MLB,399,155.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Jake Burger fit as a 1b contributor; dynasty rank 399; market ADP 155.0; roster construction needed this position fit; team OBP build needed reinforcement."
187,19,7,Josh M,Cam Schlittler,pitcher,SP,SP,MLB,MLB,158,161.0,,,Josh M prioritized portfolio balance and optional roster construction; Cam Schlittler fit as a sp contributor; dynasty rank 158; market ADP 161.0.
188,19,8,Shane,Shane Baz,pitcher,SP,SP,MLB,MLB,162,168.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Shane Baz fit as a sp contributor; dynasty rank 162; market ADP 168.0."
189,19,9,Greg,Sonny Gray,pitcher,SP,SP,MLB,MLB,199,173.0,,,Greg prioritized present-year reliability and secure MLB roles; Sonny Gray fit as a sp contributor; dynasty rank 199; market ADP 173.0.
190,19,10,Josh V,Heliot Ramos,hitter,OF,OF,MLB,MLB,144,157.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Heliot Ramos fit as a of contributor; dynasty rank 144; market ADP 157.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
191,20,1,Josh V,Spencer Schwellenbach,pitcher,SP,SP,MLB,MLB,53,69.5,60-day IL,Status Change,Josh V prioritized long-term ceiling and upside over market conservatism; Spencer Schwellenbach fit as a sp contributor; dynasty rank 53; market ADP 69.5; MLB-slot pressure required immediate production.
192,20,2,Greg,Yusei Kikuchi,pitcher,SP,SP,MLB,MLB,428,167.0,,,Greg prioritized present-year reliability and secure MLB roles; Yusei Kikuchi fit as a sp contributor; dynasty rank 428; market ADP 167.0.
193,20,3,Shane,Andrew Abbott,pitcher,SP,SP,MLB,MLB,231,171.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Andrew Abbott fit as a sp contributor; dynasty rank 231; market ADP 171.0."
194,20,4,Josh M,Noah Schultz,pitcher,SP,SP/P/PITCHER,Minors,AAA,371,193.0,,Assigned,Josh M prioritized portfolio balance and optional roster construction; Noah Schultz fit as a sp contributor; dynasty rank 371; market ADP 193.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
195,20,5,Paul,Ryan Helsley,pitcher,RP,RP,MLB,MLB,214,184.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Ryan Helsley fit as a late-inning reliever; dynasty rank 214; market ADP 184.0."
196,20,6,Michael,Otto Lopez,hitter,SS,2B/SS,MLB,MLB,265,182.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Otto Lopez fit as a ss contributor; dynasty rank 265; market ADP 182.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
197,20,7,Matt,Josh Hader,pitcher,RP,RP,MLB,,126,196.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Josh Hader fit as a late-inning reliever; dynasty rank 126; market ADP 196.0."
198,20,8,Wendell,David Peterson,pitcher,SP,SP,MLB,MLB,457,169.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; David Peterson fit as a sp contributor; dynasty rank 457; market ADP 169.0."
199,20,9,Rob,Jose Soriano,pitcher,SP,SP,MLB,MLB,358,172.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Jose Soriano fit as a sp contributor; dynasty rank 358; market ADP 172.0."
200,20,10,Chris,Tanner Bibee,pitcher,SP,SP,MLB,MLB,200,178.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Tanner Bibee fit as a sp contributor; dynasty rank 200; market ADP 178.0."
201,21,1,Chris,Sandy Alcantara,pitcher,SP,SP,MLB,MLB,139,175.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Sandy Alcantara fit as a sp contributor; dynasty rank 139; market ADP 175.0."
202,21,2,Rob,Ranger Suarez,pitcher,SP,SP,MLB,MLB,183,182.0,,Signed as Free Agent,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Ranger Suarez fit as a sp contributor; dynasty rank 183; market ADP 182.0."
203,21,3,Wendell,Mickey Moniak,hitter,OF,OF,MLB,MLB,216,158.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Mickey Moniak fit as a of contributor; dynasty rank 216; market ADP 158.0; roster construction needed this position fit."
204,21,4,Matt,Edwin Diaz,pitcher,RP,RP,MLB,MLB,93,211.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Edwin Diaz fit as a late-inning reliever; dynasty rank 93; market ADP 211.0."
205,21,5,Michael,Colson Montgomery,hitter,SS,SS/3B,MLB,MLB,191,180.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Colson Montgomery fit as a ss contributor; dynasty rank 191; market ADP 180.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
206,21,6,Paul,Jeff Hoffman,pitcher,RP,RP,MLB,MLB,321,199.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Jeff Hoffman fit as a late-inning reliever; dynasty rank 321; market ADP 199.0."
207,21,7,Josh M,Chase DeLauter,hitter,OF,OF/RF/OUTFIELDER,Minors,MLB,360,203.0,,,Josh M prioritized portfolio balance and optional roster construction; Chase DeLauter fit as a of contributor; dynasty rank 360; market ADP 203.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
208,21,8,Shane,Travis Sykora,pitcher,RP,P/PITCHER,Minors,AA,322,195.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Travis Sykora fit as a late-inning reliever; dynasty rank 322; market ADP 195.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
209,21,9,Greg,Luis Castillo,pitcher,SP,SP,MLB,MLB,185,206.0,,,Greg prioritized present-year reliability and secure MLB roles; Luis Castillo fit as a sp contributor; dynasty rank 185; market ADP 206.0.
210,21,10,Josh V,Andres Gimenez,hitter,SS,2B/SS,MLB,MLB,452,179.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Andres Gimenez fit as a ss contributor; dynasty rank 452; market ADP 179.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
211,22,1,Josh V,Yainer Diaz,hitter,C,C,MLB,MLB,210,202.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Yainer Diaz fit as a c contributor; dynasty rank 210; market ADP 202.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
212,22,2,Greg,Brady Singer,pitcher,SP,SP,MLB,MLB,398,189.0,,,Greg prioritized present-year reliability and secure MLB roles; Brady Singer fit as a sp contributor; dynasty rank 398; market ADP 189.0.
213,22,3,Shane,Ryan Waldschmidt,hitter,OF,OF/OUTFIELDER,Minors,AA,262,202.0,,Assigned,"Shane prioritized clear jobs, volume paths, and role-change usability; Ryan Waldschmidt fit as a of contributor; dynasty rank 262; market ADP 202.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
